word	onset	duration
It's	0.17211	2.4444
okay	3.01565	0.3990
honey	3.41474	0.2095
You'll	3.62426	0.1297
find	3.75397	0.3292
a	4.08322	0.0498
name	4.13311	0.3392
Ugh	4.47234	0.3092
easy	5.08095	0.3093
for	5.39025	0.1097
you	5.5	0.2195
to	5.7195	0.0898
say	5.8093	0.3492
You	6.1585	0.1197
already	6.27823	0.1995
know	6.47778	0.1995
what	6.67732	0.1297
your	6.80703	0.2195
kids'	7.02653	0.3292
names	7.35578	0.2693
are	7.62517	0.0299
going	7.6551	0.1197
to	7.77483	0.0598
be	7.83469	0.2693
You	8.85238	0.1297
do	8.98209	0.2993
Yeah	10.12948	0.4090
I've	10.53855	0.3392
had	11.37664	0.1197
them	11.49637	0.0997
picked	11.59615	0.1795
out	11.77574	0.1696
since	11.94535	0.1795
I	12.12494	0.1097
was	12.23469	0.2095
14	12.4941	0.6385
Oh	13.51179	0.1895
no	13.70136	0.2394
it's	13.94082	0.1496
going	14.09048	0.1496
to	14.24014	0.1097
be	14.34989	0.0598
named	14.40975	0.1895
after	14.59932	0.1995
some	14.79887	0.2095
snack	15.00839	0.6285
or	15.63696	0.0798
baked	15.71678	0.5088
good	16.22562	0.1696
isn't	16.39524	0.2494
it	16.64467	0.0798
Well	16.72449	0.0898
tell	16.81429	0.1197
us	16.93401	0.1197
what	17.05374	5.1083
are	22.16213	0.4988
they	22.75079	0.3891
Um	23.77846	0.3691
okay	24.21746	0.2594
If	24.47687	0.1696
it's	24.64649	0.4090
a	25.05556	0.0698
boy	25.1254	0.4888
it's	25.7839	0.2195
Daniel	26.06327	0.3791
And	26.9712	0.1795
if	27.15079	0.1496
it's	27.30045	0.1297
a	27.43016	0.0598
girl	27.49002	0.5088
I	28.97664	0.1396
don't	29.11633	0.1197
want	29.23605	0.1995
to	29.45556	0.1895
say	29.99433	0.2893
Oh	30.28367	0.6086
just	30.89229	0.3691
tell	31.30136	0.5886
us	31.91995	0.1496
We're	32.06961	0.1596
not	32.22925	0.2394
going	32.46871	0.1596
to	32.62834	0.0598
want	32.68821	0.4190
it	33.10726	0.2594
Okay	34.85329	0.4589
It's	36.40975	0.1097
Emma	36.57937	0.1596
Emma	36.85873	0.2494
See	37.42744	0.0698
I	37.53719	0.1297
don't	37.66689	0.0898
want	37.75669	0.4090
it	38.37528	0.2993
Do	38.6746	0.0997
you	38.77438	0.0798
have	39.14354	2.6040
any	41.74762	0.1895
other	41.93719	0.2095
totally	42.14671	1.7659
perfect	44.53129	1.3768
names	45.90816	0.1197
that	46.02789	1.3968
you're	47.42472	0.1496
not	47.57438	0.6285
going	48.20295	0.4589
to	48.6619	1.7061
use	50.36803	0.3092
Take	51.11633	1.3968
it	56.28458	0.2793
What	58.05057	0.3990
She's	59.78662	0.0898
clearly	60.58481	0.4090
an	60.99388	0.1297
Emma	61.12358	0.2294
Oh	61.68231	0.3591
honey	62.0415	0.3092
but	62.35079	0.1995
you	62.55034	0.1895
love	62.73991	0.2594
that	62.99932	0.1297
name	63.12902	0.6984
Yeah	65.11451	0.2893
but	65.40385	0.1396
I	66.10227	0.0698
love	66.17211	0.2394
you	66.41156	0.3791
more	68.39705	0.7183
Besides	70.06327	0.6385
you	70.70181	0.2195
know	70.92132	0.1197
nothing	71.90907	0.2793
goes	72.18844	0.1895
with	72.378	0.1097
Bing	72.57755	0.3990
so	72.97664	0.0698
I'm	73.04649	0.1895
screwed	73.23605	0.5786
Oh	73.92449	0.0299
Hi	73.95442	0.1895
Emma	74.14399	0.1396
Yup	74.28367	0.1396
that's	74.42336	4.5496
you	79.17256	0.2095
You're	80.44966	0.2693
our	81.18798	0.2195
little	81.40748	0.4489
Em	81.85646	0.2095
Oh	82.95397	0.0798
what's	83.03379	0.9378
that	84.23107	0.3392
honey	84.67007	0.2195
What	84.90952	0.1596
Oh	85.06916	0.2294
you	87.08458	0.3093
want	87.39388	0.7582
a	90.47687	0.0598
little	90.53673	0.7882
cousin	93.84921	0.4589
You	94.36803	0.1596
want	94.52766	1.0576
a	96.69274	0.2494
cousin	96.94218	0.6385
right	97.58073	0.9179
now	98.49864	2.3746
Do	100.87324	0.1297
I	101.00295	0.1297
look	101.13265	0.1396
like	101.27234	0.2095
a	101.48186	0.0299
giant	101.51179	0.3691
sperm	101.88095	0.3691
to	102.25011	0.0598
all	102.30998	0.2793
of	102.58934	0.0698
you	102.65918	0.2993
or	102.9585	0.1396
That	103.09819	2.1850
was	105.59252	0.4789
amazing	106.07143	2.5442
I	108.61565	0.6086
know	109.22426	2.1251
Hey	111.34943	3.3523
do	116.44785	0.1197
you	116.72721	0.0698
realize	116.94671	0.2693
that	117.24603	0.4589
we	118.75261	0.1795
may	119.04195	0.3591
have	119.40113	1.2771
just	124.77891	0.8780
changed	126.62472	1.7061
our	129.36848	0.1097
lives	129.47823	0.2793
forever	129.7576	0.5587
Nine	130.40612	0.5487
months	132.3517	0.6385
from	132.99025	0.2095
now	133.25964	0.1197
we	133.37937	0.0598
could	133.43923	0.1596
be	133.59887	0.1496
here	133.74853	0.3791
having	134.12766	0.6186
our	134.74626	0.1895
own	134.93583	0.2594
baby	135.19524	0.4988
And	137.14082	0.1696
if	137.31043	0.2693
not	137.57982	0.2993
we	137.87914	0.0798
got	137.95896	0.1895
to	138.14853	0.0897
do	138.29819	0.2195
it	138.51769	0.0598
on	138.57755	0.1297
a	138.70726	0.0299
bucket	138.73719	0.4489
I	139.73492	3.1528
love	144.07506	0.2693
you	144.34444	0.1496
so	144.4941	0.4489
much	144.94308	0.5687
Oh	145.82109	0.2294
yeah	146.05057	0.3591
Yeah	147.74671	0.1596
Mmm	148.88413	0.4190
Hey	149.90181	0.2793
Y	151.69773	0.1097
You	152.09683	0.1297
want	152.22653	0.1496
to	152.37619	0.0598
do	152.43605	0.1197
it	152.55578	0.0798
again	152.6356	0.3891
This	153.80295	0.1596
time	153.96259	0.1995
just	154.16213	0.1596
for	154.32177	0.2494
us	158.52222	0.3991
Probably	159.14082	1.2272
Yoohoo	160.36803	4.2503
Aaron	165.50635	0.5986
LitmanGarelnick	166.65374	1.1374
would	168.45964	0.1297
like	168.58934	0.2693
to	168.85873	0.1795
say	169.03832	0.2294
hello	169.2678	0.5387
to	169.80658	0.2993
his	170.1059	0.2793
future	170.38526	0.5088
bride	170.8941	2.2548
Oh	173.14898	0.6784
Wow	174.11678	0.5487
he	174.66553	0.3292
kind	174.99478	2.5442
of	177.539	0.2494
takes	177.8483	0.3791
your	178.36712	0.9278
breath	179.99342	0.4988
away	180.49229	0.1396
doesn't	180.63197	0.9079
he	181.53991	0.6784
He's	182.21837	2.2748
a	184.4932	0.1895
keeper	184.68277	0.7383
Oh	185.42109	0.1396
look	185.56077	0.2594
at	185.9	0.9777
the	186.87778	0.6684
little	187.54626	1.0975
munchkin	188.64376	1.4467
Don't	190.39977	0.2294
you	190.62925	0.1297
worry	190.75896	0.4290
because	191.29773	0.2594
by	191.55714	0.1496
the	191.7068	0.0798
time	191.78662	0.2594
you're	192.04603	0.1496
old	192.19569	0.2095
enough	192.40522	0.1795
to	192.58481	0.1097
date	192.69456	0.3691
him	193.14354	0.1097
he's	193.31315	0.1396
going	193.45283	0.1197
to	193.57256	0.0598
have	193.63243	0.2294
a	193.8619	0.0399
different	193.90181	0.4390
nose	194.34082	0.4290
How	195.15896	1.8358
you	196.99478	0.0997
feeling	197.09456	0.3990
Oh	197.49365	0.5487
you	198.0424	0.0997
know	198.14218	0.4789
I'm	199.0102	0.8081
fine	199.81837	0.5387
Can	200.35714	1.4467
I	202.23288	0.1895
just	202.42245	0.2195
say	202.64195	0.2195
I	203.04104	0.2195
really	203.26054	0.4988
admire	203.89909	0.4589
what	204.35805	0.1496
you're	204.50771	0.0997
doing	204.60748	0.3891
just	205.6551	0.2095
raising	206.02426	0.3691
her	206.39342	0.2394
all	206.63288	0.1297
alone	206.76259	0.4290
Oh	208.66825	0.1396
I'm	208.80794	0.1197
not	208.92766	0.1895
doing	209.11723	0.2594
it	209.37664	0.0898
alone	209.46644	0.3292
I	209.79569	0.1097
have	209.90544	0.1995
Ross	210.10499	0.2195
Oh	211.16259	0.1696
sure	211.75125	0.4090
now	212.66916	0.4090
But	213.12812	0.1596
what	214.02608	0.2793
happens	214.30544	0.1995
when	214.50499	0.0997
he	214.60476	0.0598
meets	214.66463	0.1795
somebody	214.84422	0.2693
else	215.11361	0.2494
and	215.36304	0.1197
he	215.48277	0.0897
gets	215.57256	0.2394
married	215.81202	0.4290
Well	217.51814	0.1297
then	217.64785	0.1396
he	217.78753	0.1097
gets	217.89728	0.2594
a	218.15669	0.0598
divorce	218.21655	0.5188
It's	218.73537	0.1496
Ross	218.88503	0.4390
I'm	219.61338	2.7038
telling	222.31723	1.7061
you	224.02336	0.1895
Rachel	224.21293	0.4489
listen	224.85147	0.3791
to	225.23061	0.0898
Janice	225.32041	0.5487
They	226.35805	0.2095
all	226.56757	0.2693
say	226.83696	0.5387
they're	227.37574	0.3192
going	227.69501	0.1496
to	227.84467	0.0698
be	227.91451	0.1795
there	228.0941	0.2195
until	228.81247	0.2793
they	229.09184	0.1396
start	229.23152	0.3791
their	229.61066	0.1496
real	229.76032	0.3591
family	230.1195	0.5986
Well	233.22245	0.1197
I	233.4619	0.1696
I	233.84104	0.2693
that's	234.36984	0.2693
never	234.63923	0.2394
going	234.87868	0.1197
to	234.99841	0.0598
happen	235.05828	0.5188
with	235.5771	0.2494
Ross	236.46508	0.2494
That's	236.71451	0.2195
what	236.93401	0.0898
I	237.02381	0.0997
thought	237.12358	0.1696
about	237.2932	0.1795
my	237.47279	0.1396
first	237.61247	0.2594
husband	237.87188	0.3192
Now	238.19116	0.1895
I'm	238.38073	0.0598
lucky	238.44059	0.2095
if	238.65011	0.0997
my	238.74989	0.1696
kid	238.9195	0.2095
gets	239.12902	0.1596
to	239.28866	0.0598
spend	239.34853	0.2494
the	239.59796	0.0698
weekend	239.6678	0.4190
with	240.08685	0.1197
her	240.20658	0.0698
father	240.27642	0.4888
and	240.76531	0.0897
the	240.8551	0.0598
tw	240.91497	0.3092
ins	241.22426	0.0898
and	241.31406	0.0897
little	241.40385	0.1796
Miss	241.58345	0.1696
New	241.75306	0.2394
Boobs	241.99252	0.5587
Really	242.74082	0.1197
Yeah	242.86054	1.6462
I	244.5068	0.0299
hate	244.53673	1.3569
to	247.48005	0.0798
be	247.55986	0.3691
the	247.99887	0.1197
one	248.11859	0.1995
to	248.31814	0.0598
say	248.378	0.3093
it	248.6873	0.1396
but	249.49546	0.1696
honey	249.93447	0.3990
you	251.09184	0.2095
two	251.30136	0.4789
are	252.27914	0.1795
on	252.45873	0.1995
your	252.65828	0.1297
own	252.78798	0.2394
Well	256.31995	0.3791
that's	258.03605	0.2294
you	258.4551	0.1396
know	258.59478	0.2394
that's	258.88413	0.1795
we've	259.34308	0.1596
been	259.50272	0.1297
alone	259.63243	0.3092
for	259.94172	0.0898
the	260.03152	0.0598
last	260.09138	0.2993
20	260.3907	0.4589
minutes	260.96939	0.2993
and	261.26871	0.3492
we're	261.65782	0.2095
doing	262.23651	1.0975
okay	263.33401	0.6285
Besides	264.78073	0.4190
you	265.19977	0.1895
know	265.38934	0.1197
what	265.50907	0.3093
Maybe	265.81837	0.1297
we	265.94807	0.0698
won't	266.01791	0.3492
be	266.36712	0.1097
alone	266.47687	0.2893
because	266.76621	0.1995
lately	266.96576	0.4789
things	267.90363	0.2594
have	268.16304	0.1197
been	268.28277	0.1396
happening	268.42245	0.7981
between	269.87914	0.3891
me	270.26825	0.1297
and	270.39796	0.1895
Ross	270.58753	0.3392
you	270.92676	0.0798
know	271.00658	0.3492
And	271.35578	0.4190
right	271.77483	0.2095
before	271.98435	0.3392
I	272.32358	0.0299
went	272.35351	0.1895
into	272.54308	0.1995
labor	272.74263	0.4090
we	273.1517	0.3093
we	273.91995	0.1297
had	274.04966	0.1795
this	274.22925	0.2095
kiss	274.43878	0.3990
You	276.38435	0.1197
know	276.50408	0.2594
So	276.94308	0.3093
it	277.27234	0.2594
might	278.49955	0.3691
be	278.91859	0.2095
the	279.12812	0.1297
beginning	279.25782	0.9079
of	280.26553	0.1795
something	282.44059	0.3492
Hey	283.45828	0.3292
Janice	283.78753	0.8181
Oh	284.60567	0.1097
hi	284.71542	0.5387
Oh	285.2542	0.4090
Who's	285.66327	1.0276
this	286.69093	0.3093
little	287.00023	0.4090
guyahy	287.4093	0.3092
Say	287.71859	0.0798
hello	287.79841	3.4721
to	291.27052	0.1197
Aaron	291.39025	0.5687
Your	292.12857	0.5088
future	292.63741	0.3691
son-in-law	293.00658	0.8081
No	293.81474	0.3990
no	294.24376	0.2793
No	294.52313	0.3093
I'm	294.83243	2.6439
going	297.47642	0.6784
to	298.15488	0.8780
leave	299.03288	0.2693
the	299.30227	0.0997
three	299.40204	0.2893
of	299.69138	0.1197
you	299.81111	0.1696
alone	299.98073	0.3891
Oh	300.36984	0.0798
okay	300.44966	0.4589
Bye	300.99841	0.3791
Janice	302.12585	0.2494
Man	303.4229	0.4390
you	303.8619	0.0997
see	303.96168	0.1795
the	304.14127	0.0898
kid	304.23107	0.2693
on	304.50045	0.1297
that	304.63016	0.1596
nose	304.7898	0.4290
Uhhuh	305.21882	0.0698
