season,episode,narrator,line
1,1,monica:, there's nothing to tell! he's just some guy i work with!
1,1,joey:," c'mon, you're going out with the guy! there's gotta be something wrong with him!"
1,1,chandler:," all right joey, be nice.  so does he have a hump? a hump and a hairpiece?"
1,1,phoebe:," wait, does he eat chalk? "
1,1,phoebe:," just, 'cause, i don't want her to go through what i went through with carl oh!"
1,1,monica:," okay, everybody relax. this is not even a date. it's just two people going out to dinner and not having sex."
1,1,chandler:, sounds like a date to me. 
1,1,chandler:," alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realize i am totally naked."
1,1,all:," oh, yeah. had that dream."
1,1,chandler:," then i look down, and i realize there's a phone... there."
1,1,joey:, instead of...?
1,1,chandler:, that's right.
1,1,joey:, never had that dream.
1,1,phoebe:, no.
1,1,chandler:," all of a sudden, the phone starts to ring. now i don't know what to do, everybody starts looking at me. "
1,1,monica:, and they weren't looking at you before?!
1,1,chandler:," finally, i figure i'd better answer it, and it turns out it's my mother, which is very very weird, because she never calls me! "
1,1,ross:, hi.
1,1,joey:," this guy says hello, i wanna kill myself."
1,1,monica:," are you okay, sweetie?"
1,1,ross:," i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
1,1,chandler:, cookie?
1,1,monica:, carol moved her stuff out today. 
1,1,joey:, ohh.
1,1,monica:, let me get you some coffee.
1,1,ross:, thanks.
1,1,phoebe:, ooh! oh! 
1,1,ross:," no, no don't! stop cleansing my aura! no, just leave my aura alone, okay?"
1,1,phoebe:, fine!  be murky!
1,1,ross:," i'll be fine, alright? really, everyone. i hope she'll be very happy."
1,1,monica:, no you don't.
1,1,ross:," no i don't, to hell with her, she left me!"
1,1,joey:, and you never knew she was a lesbian...
1,1,ross:," no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?"
1,1,chandler:, sometimes i wish i was a lesbian... did i say that out loud?
1,1,ross:," i told mom and dad last night, they seemed to take it pretty well."
1,1,monica:," oh really, so that hysterical phone call i got from a woman at sobbing 3 a.m., ""i'll never have grandchildren, i'll never have grandchildren."" was what?  a wrong number?"
1,1,ross:, sorry.
1,1,joey:," alright ross, look. you're feeling a lot of pain right now. you're angry. you're hurting. can i tell you what the answer is? "
1,1,joey:," strip joint! c'mon, you're single! have some hormones!"
1,1,ross:," i don't want to be single, okay? i just... i just i just wanna be married again! "
1,1,chandler:, and i just want a million dollars! 
1,1,monica:, rachel?!
1,1,rachel:," oh god monica hi! thank god! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
1,1,waitress:, can i get you some coffee?
1,1,monica:," de caff. okay, everybody, this is rachel, another lincoln high survivor. this is everybody, this is chandler, and phoebe, and joey, and you remember my brother ross? "
1,1,rachel:," hi, sure!"
1,1,ross:, hi. 
1,1,monica:," so you wanna tell us now, or are we waiting for four wet bridesmaids?"
1,1,rachel:," how much barry looks like mr. potato head. y'know, i mean, i always knew looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city."
1,1,monica:, who wasn't invited to the wedding.
1,1,rachel:," ooh, i was kinda hoping that wouldn't be an issue... "
1,1,monica:," now i'm guessing that he bought her the big pipe organ, and she's really not happy about it. "
1,1,chandler:, tuna or egg salad?  decide!
1,1,ross:, i'll have whatever christine is having.
1,1,rachel:," daddy, i just... i can't marry him! i'm sorry. i just don't love him. well, it matters to me! "
1,1,phoebe:,"  if i let go of my hair, my head will fall off. "
