word	onset	duration
DID	0.0825	0.2400
YOU	0.3225	0.0600
GUYS	0.3825	0.2000
MAKE	0.5825	0.2200
UP	0.8025	0.1900
NO	1.3825	0.4000
BUT	2.4125	0.1800
SHE	2.5925	0.2300
JUST	2.9125	0.3100
CAME	3.2225	0.2100
UP	3.4325	0.2200
HERE	3.6925	0.3400
THAT	4.5225	0.1100
WAS	4.6325	0.1900
JOEY	4.8225	0.3300
I	5.8225	0.0700
WONDER	5.8925	0.1800
WHERE	6.0725	0.8600
SHE	6.9325	0.2100
IS	7.2025	0.2000
THAT'S	7.4025	0.2000
SO	7.6025	0.2000
WEIRD	7.8325	0.4800
YEAH	8.3125	0.2300
WELL	8.6225	0.2400
SHE'S	8.8625	0.1900
PROBABLY	9.0525	0.2300
TALKING	9.2825	0.3100
TO	9.5925	0.0700
RICHARD	9.6625	0.3800
WOULD	10.3825	0.5500
YOU	11.3425	0.2500
STOP	11.5925	0.6400
THAT	12.3125	0.3600
YOU	13.4825	0.0800
WANT	13.5625	0.1700
TO	13.7325	0.0700
KNOW	13.8025	0.0600
THE	13.8625	0.0600
FIRST	13.9225	0.4300
THING	14.3525	0.1200
SHE	14.4725	0.2100
SAID	14.6825	0.2900
WHEN	14.9725	0.1100
SHE	15.0825	0.1800
CAME	15.2625	0.2300
BACK	15.4925	0.2200
FROM	15.7125	0.1500
HER	15.8625	0.1100
LUNCH	15.9725	0.2700
WITH	16.2425	0.1400
RICHARD	16.3825	0.4600
SHE	16.9825	0.1800
DIDN'T	17.1625	0.1200
FEEL	17.2825	0.2800
ANYTHING	17.5625	0.5400
FOR	18.1025	0.1600
HIM	18.2625	0.3000
SHE	18.5625	0.2500
LOVES	18.8125	0.3200
YOU	19.1325	0.5600
REALLY	21.2225	0.3200
YES	21.8325	0.8000
SHE	23.1225	0.2000
FEELS	23.3225	0.3500
TERRIBLE	23.6725	0.8100
SHE	24.9125	0.1600
REALLY	25.0725	0.2300
WANTS	25.3025	0.2300
TO	25.5325	0.0900
MAKE	25.6225	0.3100
UP	25.9325	0.2200
YOU'VE	26.1525	0.3700
GOT	26.5225	0.1600
TO	26.6825	0.0800
FIND	26.7625	0.3600
HER	27.1225	0.2700
OKAY	29.3925	0.2100
GOOD	30.9625	0.3200
I	36.6925	0.5900
SHOULD	39.0925	0.2000
REALLY	39.2925	0.2800
START	39.5725	0.3100
WEARING	39.8825	0.3800
HATS	40.8225	1.3800
IT'S	43.7025	0.1400
NOT	43.8425	0.3400
UNUSUAL	44.1825	1.0300
TO	45.2925	0.1900
BE	45.4825	0.3400
LOVED	45.8225	0.4900
BY	46.3125	0.1600
ANYONE	46.5025	1.0100
IT'S	47.5125	1.5700
NOT	49.0825	0.3200
UNUSUAL	49.4025	0.6200
YAY	50.0725	0.0900
BUT	50.1625	0.1000
WHEN	50.2625	7.5400
I	57.8025	0.7700
SEE	59.1825	0.0800
YOU	59.3925	0.0800
HANGING	59.4725	5.0000
ABOUT	67.5725	10.3700
WITH	79.0325	2.3100
ANYONE	81.6825	0.2500
WHERE	82.1125	2.6600
ARE	84.7725	0.0300
THE	84.8325	0.0600
DICE	84.8925	0.1100
IT'S	85.0025	0.1000
NOT	85.1025	0.6100
UNUSUAL	85.7125	0.5000
TO	86.2125	0.0600
SEE	86.2725	0.4700
ME	86.7425	0.4500
CRY	87.1925	0.0900
I	87.2825	0.0300
WANT	87.3125	0.2000
TO	87.5125	0.0600
DIE	87.5725	0.1400
WELCOME	87.7125	0.2900
TO	88.0025	0.1000
LAS	88.1025	0.2200
VEGAS	88.3225	0.4500
DID	88.7725	0.4800
YOU	90.5725	0.0900
ENJOY	91.1425	0.3500
YOUR	91.6125	0.1300
FLIGHT	92.0525	0.4900
YES	92.5425	0.3100
I	92.8525	0.0800
DID	92.9325	0.2700
THANK	93.2525	0.2000
YOU	93.4525	0.0600
VERY	93.5125	0.2500
MUCH	93.7625	0.3100
IT	94.0725	0.0600
WAS	94.1325	0.0900
EXCELLENT	94.3325	0.4700
HOPE	95.3125	1.3500
YOU	97.0125	0.0600
HAD	97.0725	0.2000
A	97.2725	0.0500
NICE	97.3225	0.2100
FLIGHT	97.5325	0.3400
OH	98.1725	0.4500
IT	98.7925	0.1000
WAS	98.8925	0.2400
THE	99.1325	0.1300
BEST	99.2625	1.3300
I	100.5925	0.3500
THINK	102.0125	2.7600
THE	106.2025	0.3700
CHECK	106.6125	0.2900
IN	106.9025	0.2100
IS	107.1125	0.2000
THAT	107.3125	0.3100
WAY	107.6225	0.2000
AH	108.1525	0.0900
HELLO	108.9925	7.3200
OH	116.3125	0.0400
KIDS	116.3525	0.4000
LOVE	116.7825	0.2600
ME	117.1025	0.2200
HEY	117.8025	1.1500
PHOEBE	118.9525	0.1500
YOU	119.1025	0.0700
GUYS	119.5325	1.7600
ARE	121.2925	0.0900
HERE	121.5825	1.0600
YAY	122.6425	0.1100
WHAT'D	122.8725	0.4900
YOU	123.3625	0.1300
DO	123.4925	0.1400
GO	123.6325	0.1600
TO	123.7925	0.2200
A	124.0125	0.0500
COSTUME	124.1725	0.5800
PARTY	124.7525	0.3300
OH	125.0825	0.1400
BOY	125.2225	0.0700
LET	125.4025	1.0600
ME	126.5725	0.3300
GUESS	126.9025	0.2700
UM	127.3425	0.3700
PANCHO	127.7825	0.3100
VILLA	128.0925	0.3400
AND	129.3725	1.9200
YOU'RE	131.2925	0.1000
BOB	131.6725	0.2800
SAGET	131.9525	0.4700
PANCHO	133.0125	2.2000
VILLA	135.2525	0.4500
YEAH	135.9425	0.2700
WHAT	136.8325	0.4200
ARE	137.7725	0.3700
YOU	138.1425	0.1600
TALKING	138.3025	0.3100
ABOUT	138.6125	0.7900
PHEEBS	139.4025	0.9100
I	140.3125	2.3400
DON'T	142.6525	0.2000
OH	144.0025	0.2400
MY	144.2425	0.1400
GOD	144.3825	0.4100
YOU	144.7925	0.1500
DREW	144.9425	0.4400
ON	145.3825	0.2100
ME	145.5925	0.0600
HEY	145.6525	1.2800
YOU	146.9625	0.1600
WET	147.1225	0.1900
MY	147.3125	0.1600
PANTS	147.4725	0.7200
HEY	148.1925	0.9200
WHOA	149.8125	0.3700
WHAT	150.1825	0.1400
KIND	150.3225	0.1800
OF	150.5025	0.0700
PARTY	150.5725	0.3100
WAS	150.8825	0.2200
THIS	151.1025	0.3700
ROSS	151.7025	0.3100
I	152.0125	0.1000
HAVE	152.1125	0.8100
BEEN	152.9225	0.1800
WALKING	153.1025	0.2700
AROUND	153.3725	0.1700
LIKE	153.5425	0.1200
THIS	153.6625	0.1300
SINCE	153.7925	0.2000
THE	153.9925	0.0700
PLANE	154.1625	0.2200
I	154.4025	0.1500
HAVE	154.5525	0.1100
YOU	154.6625	0.1300
HAVE	154.7925	0.1300
SO	154.9225	0.3400
CROSSED	155.2625	0.4500
A	155.7125	0.0700
LINE	155.7825	0.4300
RACH	156.9825	0.6100
WAIT	157.5925	0.4900
THE	158.3425	0.0900
MEN'S	158.4325	0.2700
ROOM	158.7025	0.1300
IS	158.8325	0.1400
THAT	158.9725	0.3000
WAY	159.2725	0.1900
OH	159.4625	0.0400
WHAT	159.5025	6.1700
THAT'S	166.4225	0.1700
LIKE	166.5925	0.1800
THE	166.7725	0.0900
THIRD	166.8625	0.3500
TIME	167.2725	0.2400
THAT	167.5125	0.2400
LADY'S	167.7525	0.3500
WON	168.1525	0.1500
ON	168.3025	0.1100
A	168.4125	0.0300
MACHINE	168.4425	0.3600
I	168.8025	0.1700
WAS	168.9725	0.1300
PLAYING	169.2325	0.3200
OH	170.1425	0.5900
I'LL	170.9225	0.1400
BET	171.0625	0.2400
SHE'S	171.3025	0.2200
ONE	171.5225	0.1700
OF	171.6925	0.0600
THOSE	171.7525	0.2300
PEOPLE	172.0325	0.4200
M	173.1125	0.3700
M	173.4825	0.1900
MOLE	174.0325	0.4400
PEOPLE	174.4725	0.5000
WHAT	175.2725	1.3300
