word	onset	duration
So	0.01247	0.0598
Pheebs	0.07234	0.2693
um	0.34172	0.6186
you	0.96032	0.9378
know	1.89819	0.7981
I	2.69637	0.0299
was	2.7263	0.5587
I	3.28503	0.2095
was	3.52449	0.8879
just	4.41247	0.5387
at	4.95125	0.1297
this	5.08095	0.1496
bachelorette	5.2805	0.5687
party	5.91905	0.4988
Mmhmm	6.41791	0.5886
and	7.00658	0.1795
they	7.18617	0.1396
had	7.32585	0.2195
a	7.54535	0.0798
cake	7.62517	0.4689
that	8.17392	0.2294
was	8.4034	0.2095
in	8.61293	0.2095
the	8.82245	0.0598
shape	8.88231	0.4789
of	9.71043	0.1795
a	9.89002	0.0598
man's	9.94989	0.5487
um	10.49864	0.4390
thing	11.57619	0.3492
a	11.9254	0.1297
dingding	12.0551	0.8879
and	12.94308	1.3469
uh	14.29002	0.0798
I	14.36984	0.2993
was	14.80884	0.1596
wondering	14.96848	0.2594
what	15.22789	0.1197
would	15.34762	0.1197
you	15.46735	0.1496
what	15.61701	0.2195
would	15.83651	0.1596
you	15.99615	0.0997
have	16.09592	0.0897
thought	16.18571	0.2394
of	16.42517	0.0997
that	16.52494	0.4589
offensive	17.05374	0.6186
or	17.71224	0.1396
amusing	17.85193	0.5587
Hmm	18.80975	0.1895
I'm	19.03923	0.1596
not	19.21882	0.1696
sure	19.38844	0.2095
Monica	19.59796	0.4190
what	20.01701	0.1396
do	20.15669	0.0598
you	20.21655	0.1097
think	20.3263	0.2394
Sounds	21.02472	0.3292
kind	21.46372	0.2394
of	21.72313	0.1297
tacky	21.85283	0.3691
Damn	22.72086	0.1895
it	22.91043	0.0997
All	23.0102	0.0898
right	23.56893	0.2294
well	23.79841	0.7283
I'll	24.52676	0.1895
just	24.75624	0.2095
see	24.96576	0.0898
if	25.05556	0.1097
they	25.16531	0.0897
can	25.2551	0.0997
cancel	25.35488	0.3891
it	25.74399	0.0598
and	25.97347	0.1696
if	26.14308	0.0698
not	26.21293	0.1795
maybe	26.39252	0.1895
they	26.58209	0.0897
can	26.67188	0.0898
just	26.76168	0.1297
put	26.89138	0.3392
eyes	27.23061	0.0898
on	27.32041	0.1995
the	27.51995	0.1097
hoojies	27.62971	0.2494
and	27.89909	0.0898
we'll	27.98889	0.0997
just	28.08866	0.1795
say	28.26825	0.1097
it's	28.378	0.1297
some	28.50771	0.1795
sort	28.6873	0.1795
of	28.86689	0.0598
weird	28.92676	0.3192
elephant	29.24603	0.4190
Hey	29.92449	4.0408
hey	33.96531	0.6086
you	34.57392	0.1297
guys	34.78345	0.3092
You're	35.09274	0.1197
not	35.21247	0.3192
going	35.70136	0.1795
to	35.88095	0.1297
believe	36.01066	0.1995
this	36.2102	0.1696
I	36.59932	0.0399
just	36.63923	0.2095
got	36.84875	0.0997
off	36.94853	0.1097
the	37.05828	0.0997
phone	37.15805	0.2893
with	37.44739	0.7882
my	38.2356	0.4789
agent	38.8542	0.2294
Oh	39.08367	0.1197
my	39.2034	1.3369
God	40.54036	1.1673
I'm	41.85737	0.0798
sorry	41.99705	0.2195
Too	42.21655	0.2095
soon	42.48594	0.1895
You	42.7254	0.1396
go	42.86508	0.1596
Okay	43.08458	1.3868
I	44.47143	0.0698
got	44.71088	0.2394
nominated	44.95034	0.5487
for	45.49909	0.0997
my	45.59887	0.1496
part	45.74853	0.3292
on	46.07778	0.1197
Days	46.19751	0.2195
of	46.41701	0.0897
Our	46.5068	0.1596
Lives	46.66644	0.3691
Oh	47.0356	0.0299
Joey	47.06553	0.0898
That's	47.15533	0.8680
great	48.10317	0.4489
I	48.55215	0.1097
know	48.6619	0.1696
Oh	48.83152	0.0598
my	48.89138	0.0798
God	48.9712	0.3292
Congratulations	49.30045	1.1474
I	50.44785	0.2195
can't	50.66735	0.3492
believe	51.14626	0.3192
you're	51.46553	0.4988
nominated	51.9644	0.4789
for	52.44331	0.2993
an	52.74263	0.1895
Emmy	52.9322	0.3591
No	53.29138	0.2294
no	53.52086	0.2195
Soap	53.84014	0.4190
Opera	54.25918	0.2095
Digest	54.46871	0.3292
